Username Entered: test, Password Entered: test, Date: 2021-12-05, Time: 21:09:03.000410700 America/ChicagoLogin Successful: true
Username Entered: test, Password Entered: test, Date and Time: 2021-12-09 14:57 CST, Login Successful: true
Username Entered: test, Password Entered: test, Date and Time: 2021-12-10 12:04 CST, Login Successful: true
Username Entered: test, Password Entered: test, Date and Time: 2021-12-10 12:08 CST, Login Successful: true
Username Entered: test, Password Entered: test, Date and Time: 2021-12-10 12:12 CST, Login Successful: true
Username Entered: test, Password Entered: test, Date and Time: 2021-12-10 12:25 CST, Login Successful: true
Username Entered: test, Password Entered: test, Date and Time: 2021-12-10 12:31 CST, Login Successful: true
Username Entered: test, Password Entered: test, Date and Time: 2021-12-10 12:34 CST, Login Successful: true
Username Entered: test, Password Entered: test, Date and Time: 2021-12-10 12:41 CST, Login Successful: true
Username Entered: test, Password Entered: test, Date and Time: 2021-12-10 12:54 CST, Login Successful: true
Username Entered: test, Password Entered: test, Date and Time: 2021-12-10 13:55 CST, Login Successful: true
Username Entered: test, Password Entered: test, Date and Time: 2021-12-10 13:59 CST, Login Successful: true
Username Entered: test, Password Entered: test, Date and Time: 2021-12-10 14:01 CST, Login Successful: true
Username Entered: test, Password Entered: test, Date and Time: 2021-12-10 14:09 CST, Login Successful: true
Username Entered: test, Password Entered: test, Date and Time: 2021-12-10 14:13 CST, Login Successful: true
Username Entered: test, Password Entered: test, Date and Time: 2021-12-10 14:28 CST, Login Successful: true
Username Entered: test, Password Entered: test, Date and Time: 2021-12-10 14:30 CST, Login Successful: true
Username Entered: test, Password Entered: tes, Date and Time: 2021-12-11 23:56 CST, Login Successful: false
Username Entered: test, Password Entered: test, Date and Time: 2021-12-11 23:56 CST, Login Successful: true
Username Entered: test, Password Entered: test, Date and Time: 2021-12-12 00:01 CST, Login Successful: true
Username Entered: test, Password Entered: test, Date and Time: 2021-12-13 12:35 CST, Login Successful: true
Username Entered: test, Password Entered: test, Date and Time: 2021-12-13 13:05 CST, Login Successful: true
Username Entered: test, Password Entered: test, Date and Time: 2021-12-13 13:17 CST, Login Successful: true
Username Entered: test, Password Entered: test, Date and Time: 2021-12-13 13:20 CST, Login Successful: true
